questions,Ground Truth
What is the primary method of propagation for the WannaCry ransomware?,EternalBlue
Who is the likely author of the Stuxnet malware?,novelist Mark Russinovich
What was the initial attack vector used in the SolarWinds breach?,codenamed SUNBRUST
How does the DarkSide ransomware group typically monetize their attacks?,DarkSide ransomware attackers offer their own RaaS software to affiliates for a percentage of the profits. This modern and highly technical ransomware tactic identifies high-value targets and involves more precise monetization of compromised assets.
What specific vulnerabilities were exploited in the Equifax data breach?,"An unpatched version of Apache Struts software running on a server in their DMZ, facing the internet."
What countermeasures can be taken against the Log4j vulnerability (CVE-2021-44228)?,"Organizations upgrade to the latest version (2.17. 1) of Apache Log4j 2 for all systems. This version also patches the additional vulnerabilities CVE-2021-45046, found on Dec."
What was the primary motivation behind the Sony Pictures hack?,"North Korean state-sponsored hackers are suspected by the United States of being involved in part due to specific threats made toward Sony and movie theaters showing The Interview, a comedy film about an assassination attempt against Kim Jong-un."
Which countries are most frequently targeted by APT28 (Fancy Bear)?,"U.S., Europe, and the countries of the former Soviet Union, including governments and militaries, defense attaches, media entities, and dissidents and figures opposed to the current Russian Government."
What are the key indicators of compromise (IOCs) associated with the Emotet malware?,"unusual network traffic patterns, abnormal endpoint behaviors, or suspicious files and registry entries."
What is the main objective of the REvil ransomware group?,encrypts files after infection and discards a ransom request message.
How did the attack on Colonial Pipeline impact critical infrastructure?,"The attack shut down Colonial Pipeline's operations for approximately five days, causing localized shortages of gasoline, diesel fuel, and jet fuel."
What are the best practices for securing a multi-cloud environment?,"1.Unified Security Policies: Develop a comprehensive security policy that applies consistently across all cloud providers. Use management tools to enforce these policies uniformly. 2.Centralized Visibility and Monitoring: Implement centralized monitoring solutions (such as Splunk or Datadog) to get a unified view of your multi-cloud environment. This helps spot anomalies and potential security threats. 3.Identity and Access Management (IAM): Use robust IAM policies to control access. Multi-factor authentication (MFA) and role-based access controls (RBAC) are essential. Ensure consistency across platforms. 4.Encryption Everywhere: Encrypt data at rest and in transit. Manage encryption keys securely, preferably with a key management service spanning all cloud providers. 5. Regular Audits and Compliance Checks: Continuously assess your security posture against industry standards and regulations.  "
How does the Ryuk ransomware group select its targets?,"1.Big Game Hunting: Ryuk focuses on organizations with critical assets that are more likely to pay ransoms. They avoid indiscriminate attacks and instead pursue high-value targets. 2. Manual Hacking Techniques: The group uses manual hacking activities, including network reconnaissance and lateral movement. Their goal is to compromise domain controllers and gain administrative access to as many systems as possible before initiating file encryption. 3. Sophisticated Distribution: Ryuk is distributed through TrickBot, a credential theft Trojan. It can also follow an infection with Emotet/LokiBot or exploit vulnerable systems found via tools like Shodan."
